type,dataset,algorithm,stable,n,seed,ok,error,compares,cmp_flips,key_reads,aux_peak_bytes,order_hash
int64,sorted,glidesort,1,100,20260912,1,,99,0,,0,5ca7581a242be567
int64,reverse,brainsort,1,100,20260912,1,,99,0,,0,d9f7fc0466dafddf
int64,reverse,slice::sort,1,100,20260912,1,,99,0,,0,d9f7fc0466dafddf
int64,reverse,slice::sort_by_cached_key,1,100,20260912,1,,99,0,100,1600,d9f7fc0466dafddf
int64,reverse,glidesort,1,100,20260912,1,,99,0,,0,d9f7fc0466dafddf
int64,nearly_sorted,brainsort,1,100,20260912,1,,258,8,,832,ff7266dbd54f61bf
int64,nearly_sorted,slice::sort,1,100,20260912,1,,621,20,,0,ff7266dbd54f61bf
int64,nearly_sorted,slice::sort_by_cached_key,1,100,20260912,1,,569,34,100,1600,ff7266dbd54f61bf
int64,nearly_sorted,glidesort,1,100,20260912,1,,684,140,,0,ff7266dbd54f61bf
int64,few_unique,brainsort,1,100,20260912,1,,99,66,,3680,3feaacebc675ff91
int64,few_unique,slice::sort,1,100,20260912,1,,673,257,,0,3feaacebc675ff91
int64,few_unique,slice::sort_by_cached_key,1,100,20260912,1,,642,274,100,1600,3feaacebc675ff91
int64,few_unique,glidesort,1,100,20260912,1,,654,270,,0,3feaacebc675ff91
int64,all_equal,brainsort,1,100,20260912,1,,99,0,,0,5ca7581a242be567
int64,all_equal,slice::sort,1,100,20260912,1,,99,0,,0,5ca7581a242be567
int64,all_equal,slice::sort_by_cached_key,1,100,20260912,1,,99,0,100,1600,5ca7581a242be567
int64,all_equal,glidesort,1,100,20260912,1,,99,0,,0,5ca7581a242be567
int64,runs,brainsort,1,100,20260912,1,,99,0,,0,5ca7581a242be567
int64,runs,slice::sort,1,100,20260912,1,,99,0,,0,5ca7581a242be567
int64,runs,slice::sort_by_cached_key,1,100,20260912,1,,99,0,100,1600,5ca7581a242be567
int64,runs,glidesort,1,100,20260912,1,,99,0,,0,5ca7581a242be567
int64,organ_pipe,brainsort,1,100,20260912,1,,197,98,,832,0f8bf22b09ab4179
int64,organ_pipe,slice::sort,1,100,20260912,1,,484,100,,0,0f8bf22b09ab4179
int64,organ_pipe,slice::sort_by_cached_key,1,100,20260912,1,,727,73,100,1600,0f8bf22b09ab4179
int64,organ_pipe,glidesort,1,100,20260912,1,,205,99,,0,0f8bf22b09ab4179
int64,small_range,brainsort,1,100,20260912,1,,99,63,,1648,5aceeede6db274fb
int64,small_range,slice::sort,1,100,20260912,1,,532,109,,0,5aceeede6db274fb
int64,small_range,slice::sort_by_cached_key,1,100,20260912,1,,659,119,100,1600,5aceeede6db274fb
int64,small_range,glidesort,1,100,20260912,1,,672,129,,0,5aceeede6db274fb
int64,sawtooth,brainsort,1,100,20260912,1,,99,0,,0,5ca7581a242be567
int64,sawtooth,slice::sort,1,100,20260912,1,,99,0,,0,5ca7581a242be567
int64,sawtooth,slice::sort_by_cached_key,1,100,20260912,1,,99,0,100,1600,5ca7581a242be567
int64,sawtooth,glidesort,1,100,20260912,1,,99,0,,0,5ca7581a242be567
int64,prefixed,brainsort,1,100,20260912,1,,99,64,,2656,a86dc7024ff26051
int64,prefixed,slice::sort,1,100,20260912,1,,660,293,,0,a86dc7024ff26051
int64,prefixed,slice::sort_by_cached_key,1,100,20260912,1,,632,256,100,1600,a86dc7024ff26051
int64,prefixed,glidesort,1,100,20260912,1,,740,260,,0,a86dc7024ff26051
string,random,brainsort,1,100,20260912,1,,99,63,,3680,31d6cc0d1712f10f
